mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.052457729975382485,0.0015349487658762536,0.016320466995239258,0.0027334656509498565,1.0,2.0,0.1,100,5,3,0.05,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",-6.779856441804346,-4.578466030679344,-3.6900282649972813,-5.016116912493657,1.2988233806827756,10,-1.5167630598767197,-1.501952221652926,-1.6434707601349958,-1.554062013888214,0.0635100158048001
0.1572268803914388,0.012698083136549562,0.013787984848022461,0.0005716115474456249,0.85,2.0,0.1,500,3,3,0.08,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 500, 'model__min_child_weight': 3, 'model__max_depth': 3, 'model__learning_rate': 0.08, 'model__colsample_bytree': 0.7}",-6.19375409385743,-4.441908412377617,-3.9307773403459043,-4.855479948860317,0.9690362939797066,4,-1.3693206997387226,-1.3763393008469045,-1.5348744352522166,-1.4268448119459478,0.07644219962014731
0.10634779930114746,0.004316925452207773,0.012305974960327148,0.00023280911966016863,0.85,2.0,0.01,350,1,3,0.01,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 350, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.85}",-6.342114293299029,-4.520278661672823,-3.5752567338576102,-4.812549896276487,1.1483153006301865,2,-1.6133388898963905,-1.60397829249622,-1.7854043150774948,-1.667573832490035,0.0834063233654669
0.08861994743347168,0.004323118353395687,0.01255361239115397,0.0009255101812267266,1.0,1.0,0.0,350,3,2,0.08,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 350, 'model__min_child_weight': 3, 'model__max_depth': 2, 'model__learning_rate': 0.08, 'model__colsample_bytree': 1.0}",-7.136171206886811,-4.213691027047305,-3.7897900335028436,-5.046550755812319,1.4876846070865883,13,-1.4862021846741427,-1.4772055948291178,-1.635135054002571,-1.5328476111686105,0.07242133837639735
0.16029898325602213,0.007452238443517881,0.013096888860066732,0.00023316779040052755,1.0,2.0,0.1,350,5,5,0.01,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 350, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",-6.594380944028738,-4.623405181628791,-3.7654725717463036,-4.9944195658012775,1.1843196076621603,9,-1.458819970130108,-1.4634197755457352,-1.6249837786963792,-1.515741174790741,0.07726900816208514
0.07454800605773926,0.00889939427152697,0.01746233304341634,0.007064254802719284,1.0,1.0,0.1,100,1,5,0.01,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",-6.688078665433956,-5.346082268988658,-4.1951471892607834,-5.409769374561132,1.0187308678893516,19,-3.0502052410680722,-2.868938490453306,-3.201521646115416,-3.040221792545598,0.1359598979867286
0.3203057448069255,0.04478798535220979,0.017627716064453125,0.005978492237110977,1.0,1.0,0.01,500,1,4,0.01,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 500, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",-6.84742197830337,-4.514015730801043,-3.805923901681494,-5.055787203595302,1.29943959307436,14,-1.4062831831123037,-1.3979829675210833,-1.561273944594394,-1.4551800317425936,0.07509621452008186
0.08632389704386394,0.03112074367962331,0.02500454584757487,0.011656648317383198,0.7,2.0,0.0,100,5,3,0.05,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",-6.57562653593412,-4.5582426648024486,-3.6954941394625562,-4.943121113399709,1.2068938700778495,6,-1.5265773216588843,-1.5244552201126573,-1.68537817013964,-1.5788035706370607,0.0753646016513258
0.14172720909118652,0.033229384651465244,0.022887627283732098,0.007514333982661699,1.0,0.5,0.01,350,1,3,0.03,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.01, 'model__n_estimators': 350, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",-6.268289972356778,-4.431529411734341,-3.6998604005941,-4.799893261561739,1.0804247808681549,1,-1.4378389731344454,-1.409859840410076,-1.5791839777370311,-1.4756275970938508,0.0741109571113404
0.10060429573059082,0.0003815871296464192,0.024323542912801106,0.002667982266289983,0.85,1.0,0.01,100,3,4,0.01,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 100, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",-6.315908535022172,-5.445205413759492,-4.419698664572489,-5.3936042044513846,0.7749838629714579,18,-3.198630630128342,-2.978142112285295,-3.334164076533279,-3.1703122729823057,0.1467182260214822
